sql,estimate,actual,q-error
"SELECT * FROM cast_info ci WHERE ci.person_id<368436 AND ci.role_id=1;
",1326678,2769140,2.087273626
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year>1964 AND ci.person_id<2324401;
",34449887,114611775,3.326912945
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>1985 AND mc.company_id>11203 AND mk.keyword_id>9165;
",245564,4125516,16.80016615
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<8086;
",2789509,2784794,1.001693123
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id<3311;
",1053997,4367171,4.14343779
"SELECT * FROM movie_companies mc WHERE mc.company_id<51135 AND mc.company_type_id=2;
",1002560,692621,1.447487154
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=4 AND t.production_year=2009;
",84148,93894,1.115819746
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>59935;
",250362,256294,1.023693692
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<9985;
",2962141,2954175,1.002696523
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year>2009 AND ci.person_id>3841823 AND ci.role_id>3;
",187494,3757185,20.03896125
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year<2012 AND mi.info_type_id<98;
",176461601,383595361,2.173817753
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id<2439163 AND ci.role_id=4;
",976627,1494952,1.530729746
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>32268;
",562465,568847,1.011346484
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>2 AND t.production_year<2011 AND mc.company_id=7851;
",61123,1859,32.87950511
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=18986;
",249,97,2.567010309
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year=1964 AND mi.info_type_id=7;
",2177,5214,2.395039045
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=7 AND t.production_year>2006 AND mi.info_type_id=13;
",39061,10541,3.705625652
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year>1970 AND mi.info_type_id=8;
",1132131,1038752,1.089895374
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<1521;
",1224306,1211129,1.010879931
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<50815;
",4207228,4201607,1.001337821
"SELECT * FROM movie_companies mc WHERE mc.company_id>7692;
",1505075,1501045,1.002684796
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=4 AND ci.role_id>1;
",1128718,881499,1.280452956
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=1 AND t.production_year>2000 AND mc.company_type_id>1 AND ci.role_id=10;
",343192,1798209,5.23965885
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year>2012 AND mi.info_type_id>5;
",260334,418635,1.608068865
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<6374;
",2554267,2541846,1.004886606
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id=2 AND t.production_year<2011 AND ci.person_id>2023004 AND ci.role_id=3;
",309293,683161,2.208782611
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1932;
",390253,457568,1.172490666
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id<21737 AND mc.company_type_id>1 AND ci.role_id=10;
",1559790,2395835,1.535998436
"SELECT * FROM movie_companies mc WHERE mc.company_id>12666;
",1178674,1178225,1.000381082
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year>1959 AND mc.company_id<12871 AND mc.company_type_id>1 AND mk.keyword_id>16264;
",277940,499412,1.796833849
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND ci.person_id>1549177;
",48456137,203949681,4.208954606
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year<2005 AND mi.info_type_id=7 AND mk.keyword_id<47826;
",861419,850068,1.013353049
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id>37810;
",466306,470351,1.008674561
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id>968;
",3519740,3515846,1.001107557
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id=2 AND t.production_year>2010;
",7682,12219,1.590601406
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>2864;
",1502011,6436446,4.28521895
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id=7 AND t.production_year>2005 AND ci.role_id=1;
",17735818,10091442,1.75751077
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year<2010 AND mk.keyword_id=23472;
",196,1776,9.06122449
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=4 AND t.production_year>1997;
",1043946,1145745,1.097513664
"SELECT * FROM cast_info ci WHERE ci.person_id<2116398;
",20748701,20984623,1.011370447
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id>1 AND t.production_year<2003 AND ci.person_id<1075256 AND ci.role_id>2;
",9839464,7042373,1.397180183
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>1 AND t.production_year<2000 AND mc.company_id<4128;
",287823,351194,1.220173509
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1967 AND mc.company_id>252 AND mi_idx.info_type_id<100;
",335499,962490,2.868831204
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>1 AND ci.person_id<3619741 AND ci.role_id=3;
",2728209,3071180,1.125712876
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id=7 AND ci.person_id>455264 AND ci.role_id=10;
",13921532,15513403,1.114345964
"SELECT * FROM cast_info ci WHERE ci.person_id>834372;
",27912177,27745898,1.005992922
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>4834 AND mc.company_type_id<2;
",780710,571879,1.365166408
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=7 AND t.production_year>1981 AND mi.info_type_id>8;
",2867673,1900694,1.508750488
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<1999 AND mc.company_id>138 AND ci.person_id<3283233 AND ci.role_id=11;
",84828,128681,1.516963738
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<1971 AND mk.keyword_id<6406;
",1356329,447476,3.031065353
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<4 AND mi.info_type_id<3 AND mi_idx.info_type_id=101;
",136044,536763,3.945510276
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2012 AND mi_idx.info_type_id<101 AND mk.keyword_id=20319;
",2,2,1
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<6 AND t.production_year<1913 AND mk.keyword_id>335;
",25656,9377,2.736056308
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id=39600;
",614,95,6.463157895
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year=2013;
",203175,209862,1.032912514
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=2 AND mc.company_id=9969 AND mc.company_type_id<2 AND ci.person_id>3016198 AND ci.role_id=3;
",1,1,1
"SELECT * FROM cast_info ci WHERE ci.person_id=3115605 AND ci.role_id<5;
",360,1,360
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2009 AND mc.company_id>51;
",1720486,1890789,1.098985403
"SELECT * FROM movie_companies mc WHERE mc.company_id>594 AND mc.company_type_id=2;
",1052610,1188901,1.129479104
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND t.production_year<1991;
",289027,800670,2.770225619
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id<4 AND t.production_year<1994 AND ci.person_id>558569;
",3235220,4447472,1.374704657
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>1994;
",17364261,143529754,8.265814134
"SELECT * FROM movie_companies mc WHERE mc.company_id<219;
",374533,374721,1.000501958
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mk.keyword_id>1226;
",19162621,149522368,7.802814031
"SELECT * FROM movie_companies mc WHERE mc.company_id<1854 AND mc.company_type_id=2;
",415919,234152,1.776277802
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=1 AND mk.keyword_id<19127;
",17551251,61691330,3.514924948
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<2013 AND mc.company_id>67570 AND mc.company_type_id<2;
",3888222,71798,54.15501825
"SELECT * FROM cast_info ci WHERE ci.person_id=1807487;
",489,127,3.850393701
"SELECT * FROM title t WHERE t.kind_id=2 AND t.production_year>1997;
",55041,55815,1.014062245
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year<2008 AND ci.person_id<2170822 AND mi.info_type_id>9;
",33951673,121293385,3.572530432
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<3920;
",2142275,2126803,1.007274769
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year=1962 AND mi.info_type_id<2;
",1162,3138,2.700516351
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id=6 AND mi.info_type_id<98;
",345786,657363,1.901068869
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2002 AND mi_idx.info_type_id=99;
",11224,39468,3.516393443
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year<2012 AND mi_idx.info_type_id<101;
",505218,550826,1.090273902
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<2001 AND mc.company_id<1472 AND mc.company_type_id<2 AND ci.role_id<9;
",1871195,6679288,3.569530701
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=1959 AND mk.keyword_id<6196;
",6175,2826,2.185067233
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id=7 AND t.production_year=2007 AND mi.info_type_id<16;
",3992901,2662516,1.499672115
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year<2001 AND mk.keyword_id>3278;
",6559030,75244346,11.47187099
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1996 AND ci.person_id<1756961 AND ci.role_id=1 AND mi_idx.info_type_id<100;
",680469,2560345,3.762618135
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>2275815 AND ci.role_id>1;
",9263548,13915736,1.502203691
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2008 AND mk.keyword_id>20786;
",9282,72287,7.787868994
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year<2012 AND mk.keyword_id<77;
",297501,2167301,7.285020891
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND t.production_year=2002 AND ci.person_id>1428509;
",213814,1177446,5.506870458
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<451;
",606115,604722,1.002303538
"SELECT * FROM cast_info ci WHERE ci.person_id=523210 AND ci.role_id=1;
",169,5,33.8
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<2613030 AND ci.role_id>1;
",29460245,69745102,2.36743116
"SELECT * FROM movie_companies mc WHERE mc.company_id>11134 AND mc.company_type_id=1;
",679591,467830,1.452645192
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND mc.company_id=15607 AND mc.company_type_id>1;
",21,33,1.571428571
"SELECT * FROM cast_info ci WHERE ci.person_id=601437;
",489,23,21.26086957
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=1969 AND mi.info_type_id=16;
",18940,15815,1.197597218
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year<1986 AND ci.role_id<2 AND mi.info_type_id>2;
",15088096,45524551,3.017249559
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id<2862985 AND ci.role_id>10 AND mi_idx.info_type_id>99;
",76257,104836,1.374772152
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<3025;
",1847555,1834102,1.007334925
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2012 AND mi.info_type_id=2 AND mi_idx.info_type_id<101;
",33318,27116,1.22872105
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<100427 AND mc.company_type_id=1;
",1148794,1274246,1.109203217
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<3755;
",519384,1628608,3.135653004
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND mk.keyword_id=1013;
",3568,140095,39.26429372
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id<3 AND t.production_year=1948 AND mi_idx.info_type_id<101;
",407,1888,4.638820639
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year<2005 AND mi_idx.info_type_id>101;
",80,6839,85.4875
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year<2007 AND ci.role_id=1 AND mi.info_type_id=6;
",1421895,3231295,2.272527156
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year=2009 AND ci.person_id<2000463 AND ci.role_id>1;
",1128629,2419813,2.144028729
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1959 AND mi_idx.info_type_id>101;
",480,4181,8.710416667
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<2041;
",1452792,1450495,1.001583597
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id>180 AND mc.company_type_id=1 AND ci.person_id>678700 AND ci.role_id=2;
",2605320,6335879,2.431900496
"SELECT * FROM movie_companies mc WHERE mc.company_id>1716 AND mc.company_type_id>1;
",933331,1104013,1.182874029
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<1834929 AND ci.role_id=1;
",6301602,12670688,2.010709023
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>4 AND mk.keyword_id=16264;
",36192,18,2010.666667
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>1998;
",4165343,109590869,26.31016677
"SELECT * FROM movie_companies mc WHERE mc.company_id=78632;
",104,26,4
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id<4 AND t.production_year=2013 AND ci.person_id<930069;
",82168,105676,1.286096777
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year>2010 AND mk.keyword_id>8478;
",3758482,7317287,1.946872966
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year>2001 AND mi.info_type_id>2;
",2618510,4014391,1.533082173
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<4 AND t.production_year>2005 AND mi.info_type_id>16;
",303652,579149,1.907278727
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year>2012 AND mk.keyword_id<29033;
",104530,36470,2.86619139
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>980717 AND ci.role_id<2;
",9149095,5504164,1.662213372
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1984 AND ci.person_id<1356788;
",1658938,4366492,2.632100778
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<1976 AND mk.keyword_id<3654;
",5207021,16112483,3.09437642
"SELECT * FROM title t WHERE t.kind_id=4 AND t.production_year=2008;
",5865,8526,1.45370844
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mk.keyword_id<117;
",26510,233508,8.808298755
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND t.production_year=2013 AND mc.company_id=114 AND mc.company_type_id=1;
",1,22,22
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=7 AND t.production_year>2008 AND mc.company_id>86204 AND mc.company_type_id=2;
",28808,5132,5.61340608
"SELECT * FROM cast_info ci WHERE ci.person_id=630656 AND ci.role_id<2;
",169,2,84.5
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year>2004 AND mc.company_id>1010 AND mi_idx.info_type_id=99;
",40721,218062,5.355025662
"SELECT * FROM movie_companies mc WHERE mc.company_id=267;
",104,32,3.25
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id=8074;
",136,446,3.279411765
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>338840 AND ci.role_id>1;
",21416836,22576827,1.054162576
"SELECT * FROM movie_companies mc WHERE mc.company_id<82 AND mc.company_type_id=1;
",110897,172624,1.556615598
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.role_id>5;
",51286670,151867477,2.961149106
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=32344;
",249,1,249
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>40036;
",433112,440874,1.017921461
"SELECT * FROM cast_info ci WHERE ci.person_id=899416;
",489,286,1.70979021
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year<1977;
",1104000,13466386,12.19781341
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id<101 AND mk.keyword_id>13037;
",481324,1971578,4.096155604
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND t.production_year=2012 AND mc.company_type_id=2 AND ci.role_id>1;
",331328,692754,2.090840496
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND mi_idx.info_type_id=100 AND mk.keyword_id=21041;
",28,12,2.333333333
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2011 AND mc.company_id=172553;
",85,1,85
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year>1996;
",1911107,2067797,1.08198913
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=7 AND t.production_year>2005 AND mi.info_type_id<17;
",3050207,1287819,2.368505978
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=1 AND t.production_year<1988 AND mc.company_id>22429 AND mc.company_type_id>1;
",30714,167020,5.43791105
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id>1 AND t.production_year>2013 AND mi.info_type_id=3;
",889,239,3.719665272
"SELECT * FROM movie_companies mc WHERE mc.company_id>98685;
",259918,263562,1.014019806
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>2008 AND mc.company_id>253 AND mc.company_type_id=1;
",152273,306800,2.014802362
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<4 AND mi_idx.info_type_id<101;
",324833,1970378,6.065818436
"SELECT * FROM title t WHERE t.kind_id<3 AND t.production_year<1968;
",99897,224291,2.245222579
"SELECT * FROM cast_info ci WHERE ci.person_id<2034492;
",20025263,20248157,1.01113064
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<1527;
",1225762,1212659,1.010805181
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year>1953 AND mc.company_id=2394 AND mc.company_type_id<2;
",45,387,8.6
"SELECT * FROM cast_info ci WHERE ci.person_id<2411392 AND ci.role_id<2;
",8036775,12670688,1.576588619
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year<2005 AND mk.keyword_id>5083;
",1166140,1485416,1.273788739
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>5925;
",2041772,2058387,1.008137539
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year<2012 AND mc.company_id<686 AND mk.keyword_id=11272;
",51,142,2.784313725
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND mc.company_id>166664 AND mc.company_type_id=2;
",16915,85281,5.041738102
"SELECT * FROM movie_companies mc WHERE mc.company_id<13643;
",1486119,1485986,1.000089503
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>1993 AND mi_idx.info_type_id>99 AND mk.keyword_id>34200;
",50223,389926,7.763893037
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=6039;
",249,527,2.116465863
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND mc.company_id=84762;
",41,1,41
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>1 AND t.production_year<1975;
",4534640,2003444,2.263422387
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=3782;
",249,237,1.050632911
"SELECT * FROM cast_info ci WHERE ci.person_id>1862606 AND ci.role_id>3;
",6033112,8467123,1.403442038
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year<2002 AND mk.keyword_id<7301;
",1194596,1553182,1.300173448
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>1755702;
",110049526,229146989,2.082216956
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>2010 AND mi.info_type_id>3 AND mi_idx.info_type_id<100;
",189277,101180,1.87069579
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<114062;
",26538381,233517476,8.799235944
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<1328902 AND ci.role_id<9;
",11052032,12733912,1.152178351
"SELECT * FROM cast_info ci WHERE ci.person_id=1797855 AND ci.role_id<3;
",269,1646,6.118959108
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>1371584;
",40428959,129283666,3.197798538
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year<2005 AND mc.company_id=49;
",16494,110908,6.724142112
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<7 AND t.production_year=2001 AND mc.company_id<12512;
",13248,21130,1.594957729
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year=2006 AND mk.keyword_id>13914;
",54890,408014,7.43330297
